epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6974,4.32544,9.8497,0.79856,4.56527,2.65711,0.00409,0.03267,0.00361,0.00134,0,0,0,0,2.77076,9.29109,0.71933,4.00862,1.4487,0.00013,0.00013,0.00013
2,17.8169,2.50357,8.87403,0.767,3.65225,1.28976,0.67424,0.08717,0.07959,0.03164,0.60063,0.001,9e-05,1e-05,2.16753,8.92275,0.71886,2.35678,1.22724,0.000268663,0.000268663,0.000268663
3,21.6902,2.17756,7.8946,0.75811,2.33845,1.22881,0.93205,0.06849,0.11391,0.04627,0.8016,0.00498,0.00073,8e-05,1.95532,8.42283,0.72239,7.616,1.17636,0.000405941,0.000405941,0.000405941
4,25.5198,2.10813,7.43767,0.75778,1.93624,1.18663,0.674,0.18406,0.12026,0.05151,0.60536,0.01333,0.00132,0.00015,1.87866,7.95404,0.72329,6.08931,1.14693,0.000541832,0.000541832,0.000541832
5,29.3698,2.01606,7.0291,0.74378,1.73561,1.1397,0.49575,0.17086,0.14123,0.05973,0.41644,0.02889,0.00745,0.00082,1.9294,7.51122,0.72612,5.05666,1.15978,0.000676338,0.000676338,0.000676338
6,33.413,1.953,6.62099,0.72584,1.65827,1.14539,0.53543,0.24091,0.16867,0.07699,0.26029,0.15472,0.05077,0.00801,1.82965,6.40508,0.72769,6.06552,1.12627,0.000809458,0.000809458,0.000809458
7,37.2348,1.87309,6.22927,0.71518,1.53131,1.13339,0.53989,0.26502,0.17114,0.06968,0.48141,0.16835,0.07524,0.01272,2.01733,6.16426,0.72471,6.6144,1.18049,0.000941191,0.000941191,0.000941191
8,41.0388,1.8658,5.85345,0.69555,1.49866,1.11115,0.73982,0.3151,0.18378,0.08888,0.68543,0.15459,0.07635,0.01433,1.74132,5.65224,0.71241,3.58616,1.09487,0.00096535,0.00096535,0.00096535
9,44.9512,1.86211,5.59942,0.67616,1.44959,1.09849,0.32777,0.31795,0.18853,0.0959,0.28696,0.20759,0.09771,0.01832,1.67567,5.24673,0.68757,2.11231,1.07742,0.0009604,0.0009604,0.0009604
10,48.779,1.82148,5.37905,0.65982,1.40684,1.06709,0.52642,0.29355,0.19342,0.10107,0.46916,0.1608,0.0561,0.00972,1.64199,5.13555,0.66588,1.85833,1.0602,0.00095545,0.00095545,0.00095545
